participant,expectancy,owner,rt,accuracy
P1,none,self,205.0,1
P1,none,self,429.3069593339489,0
P1,none,self,543.7122728826637,1
P1,none,self,492.61705699255555,1
P1,none,self,514.4061426388653,1
P1,none,self,515.9877547259815,1
P1,none,self,481.56635420533013,0
P1,none,self,365.278052073656,1
P1,none,self,407.75656148230047,1
P1,none,self,357.8699073733681,0
P1,none,self,334.6018566396983,1
P1,none,self,415.00281643004104,1
P1,none,self,532.147527774331,1
P1,none,self,634.212572962098,1
P1,none,self,576.4095890117873,0
P1,none,self,358.0842693990314,0
P1,none,self,237.00767755419054,1
P1,none,self,440.73529703420195,1
P1,none,self,584.8178306576333,1
P1,none,self,516.5048604564727,0
P1,none,self,611.603373771832,1
P1,none,self,609.8149036815242,1
P1,none,self,490.3884630916861,1
P1,none,self,510.03902599838193,1
P1,none,self,706.0984453252167,0
P1,none,self,454.16140635963393,1
P1,none,self,489.75254974337395,1
P1,none,self,480.1921353691529,1
P1,none,self,470.77294484128583,1
P1,none,self,778.8467283994262,1
P1,none,self,437.0749413801153,1
P1,none,self,464.00810678364917,1
P1,none,self,528.0399872209523,1
P1,none,self,549.0786649701001,0
P1,none,self,638.6628939100866,0
P1,none,self,459.04466104103244,1
P1,none,self,491.8013418407815,1
P1,none,self,528.0334683671952,1
P1,none,self,409.91462150626216,1
P1,none,self,426.5002577858977,1
P1,none,self,590.1387122418128,1
P1,none,self,371.50275384866484,1
P1,none,self,519.1723476265331,0
P1,none,self,595.4808380089821,1
P1,none,self,327.3933122737588,1
P1,none,self,432.96796088579686,1
P1,none,self,460.5314848450367,1
P1,none,self,270.92462944666556,1
P1,none,self,603.724698011934,1
P1,none,self,470.2464378359349,1
P1,none,self,468.80659591361507,1
P1,none,self,502.26855298691885,1
P1,none,self,440.9891921404462,1
P1,none,self,564.193495853146,1
P1,none,self,438.5495046367703,1
P1,none,self,664.0767369947841,0
P1,none,self,330.18977637179836,1
P1,none,self,692.0210766435805,1
P1,none,self,549.4046744730549,1
P1,none,self,495.0083965759088,1
P1,none,self,543.5207726045367,1
P1,none,self,689.9452212053702,1
P1,none,self,676.2143042808804,1
P1,none,self,301.9700629482405,1
P1,none,self,444.1198488248994,1
P1,none,self,566.231981907457,1
P1,none,self,561.9904162386141,1
P1,none,self,627.1597580750775,1
P1,none,self,694.0092828212097,1
P1,none,self,561.1070265160714,1
P1,none,self,585.9635057689426,1
P1,none,self,635.0229231491543,1
P1,none,self,457.06066295957794,0
P1,none,self,527.4062353203484,1
P1,none,self,420.1849826842167,1
P1,none,self,507.1637733029254,1
P1,none,self,444.8956263279905,1
P1,none,self,585.0406440849288,1
P1,none,self,674.8133935533516,1
P1,none,self,573.1941456696002,1
P1,none,self,582.9952505531469,1
P1,none,self,425.5400301235517,1
P1,none,self,588.9026557581983,1
P1,none,self,415.7180697790314,1
P1,none,self,663.8812681738366,1
P1,none,self,524.4119381647639,1
P1,none,self,608.4822141827599,0
P1,none,self,469.8969133108608,1
P1,none,self,344.78742949749324,1
P1,none,self,339.5262990159702,1
P1,none,self,474.83214809748915,0
P1,none,self,313.83185134604616,1
P1,none,self,348.82920563241436,1
P1,none,self,520.4901219980162,1
P1,none,self,479.5510338311765,1
P1,none,self,489.3779321834344,1
P1,none,self,627.1023504176678,1
P1,none,self,426.9179952740777,1
P1,none,self,539.6150055038217,1
P1,none,self,589.8454623947838,1
P1,none,self,413.6822906001647,0
P1,none,self,469.7765616927397,1
P1,none,self,441.23694050009783,1
P1,none,self,521.3753385554633,1
P1,none,self,429.4296165664367,1
P1,none,self,459.81213101132624,1
P1,none,self,445.8021452063964,1
P1,none,self,552.4303559700543,1
P1,none,self,417.02158042768167,1
P1,none,self,362.2050674652832,0
P1,none,self,412.8213501096601,1
