participant,expectancy,owner,rt,accuracy
P1,self,self,482.9909553933526,1
P1,self,self,459.1799519663234,1
P1,self,self,581.5870596901048,1
P1,self,self,538.1957565099385,1
P1,self,self,583.5452645319947,1
P1,self,self,472.528049761175,1
P1,self,self,440.8353473673001,0
P1,self,self,502.4445060238082,1
P1,self,self,526.6418027428748,1
P1,self,self,598.7590754606174,1
P1,self,self,513.7503304335119,1
P1,self,self,583.9524499587717,0
P1,self,self,544.8630260799454,0
P1,self,self,529.4093444998011,1
P1,self,self,672.8842294696113,0
P1,self,self,620.6286286145057,1
P1,self,self,343.6954746506332,0
P1,self,self,503.0635840314949,1
P1,self,self,451.31572213257897,1
P1,self,self,613.5184982089708,1
P1,self,self,491.5693640333895,1
P1,self,self,519.5700013234994,1
P1,self,self,626.1624381704471,1
P1,self,self,495.68287052481776,1
P1,self,self,549.1785439848826,0
P1,self,self,653.6701319764574,0
P1,self,self,480.56442789058224,1
P1,self,self,533.7363651007563,0
P1,self,self,448.80035532644166,1
P1,self,self,537.2788333462026,0
P1,self,self,677.9828766163399,1
P1,self,self,547.1723785693492,1
P1,self,self,480.74381575991544,0
P1,self,self,606.0105770502377,1
P1,self,self,538.9184129161439,1
P1,self,self,602.3899739884043,1
P1,self,self,695.8797570781795,1
P1,self,self,405.795106403765,1
P1,self,self,711.7980366350262,1
P1,self,self,584.2841194973493,1
P1,self,self,620.9369576654215,0
P1,self,self,310.7774048429667,1
P1,self,self,513.8964108308608,1
P1,self,self,506.43171498333487,1
P1,self,self,400.11340019998516,1
P1,self,self,443.5919489048431,0
P1,self,self,631.1451391736728,1
P1,self,self,609.1916524644454,1
P1,self,self,617.661867480492,1
P1,self,self,381.04895666261723,1
P1,self,self,546.9723648165392,1
P1,self,self,554.6507731901979,0
P1,self,self,561.1522668468284,0
P1,self,self,486.82254092704227,1
P1,self,self,493.03341013286496,1
P1,self,self,664.4972172160236,1
P1,self,friend,545.8158772249659,1
P1,self,friend,613.7418834136236,1
P1,self,friend,494.31445367667476,1
P1,self,friend,392.1828036186116,1
P1,self,friend,500.7184968893846,1
P1,self,friend,560.8869690079987,1
P1,self,friend,458.2816239889716,1
P1,self,friend,548.6020417199621,1
P1,self,friend,480.1925674787895,1
P1,self,friend,467.06437929793844,1
P1,self,friend,516.0456016250333,1
P1,self,friend,329.2067758053344,1
P1,self,friend,491.96177418611984,1
P1,self,friend,555.1542131651545,0
P1,self,friend,393.88087562256794,0
P1,self,friend,471.50471227605794,1
P1,self,friend,334.6980495831569,1
P1,self,friend,384.09802033752396,1
P1,self,friend,467.93388206473657,1
P1,self,friend,525.407627301101,1
P1,self,friend,343.2658652499566,1
P1,self,friend,500.43880398092335,1
P1,self,friend,589.5960255396246,1
P1,self,friend,470.18529639012996,1
P1,self,friend,411.8171509958708,1
P1,self,friend,540.3916344186994,1
P1,self,friend,457.9128985123065,1
P1,self,friend,592.4409809060428,1
P1,self,friend,320.5635365957962,1
P1,self,friend,567.9655375355421,1
P1,self,friend,530.2390118639838,1
P1,self,friend,539.9026917144042,1
P1,self,friend,449.4413792240846,1
P1,self,friend,479.137625167736,1
P1,self,friend,319.784817219906,1
P1,self,friend,308.4250774299499,1
P1,self,friend,437.63852468111367,1
P1,self,friend,495.7277735008674,1
P1,self,friend,527.2568637241948,1
P1,self,friend,523.0264173500941,0
P1,self,friend,490.617108852082,1
P1,self,friend,381.00613700591276,1
P1,self,friend,421.96354029062235,1
P1,self,friend,360.6652917464407,1
