stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.50341797,0.4933622,0.17301932,0.00010111872,0.030036803,True,50.0,0.05811941
mean_ub,0.5526916,0.5624867,0.03899133,9.5944175e-05,0.0016162689,True,43.7375,0.2512125
std_ub,0.19812901,0.22143379,0.0225123,0.0005431128,0.001049916,True,14.69375,1.0352021
10q_ub,0.36387435,0.29313886,0.046244945,0.005003507,0.007142105,True,92.28438,1.5295827
30q_ub,0.44535512,0.43198353,0.046817515,0.00017879967,0.00237068,True,65.60625,0.28561106
50q_ub,0.5105741,0.54847777,0.045072302,0.001436686,0.0034682027,True,20.596874,0.840952
70q_ub,0.5910877,0.6607721,0.042072646,0.0048559126,0.006626019,True,3.20625,1.6562871
90q_ub,0.77985376,0.8362763,0.05532569,0.0031835039,0.006244435,True,14.34375,1.0198255
mean_lb,-0.53639525,-0.5737482,0.08029074,0.0013952388,0.007841843,True,55.871876,0.46522045
std_lb,0.20519961,0.22741483,0.03240091,0.00049351616,0.0015433347,True,28.234375,0.6856358
10q_lb,0.3386076,0.29880062,0.06484556,0.0015845954,0.005789542,True,68.10313,0.6138736
30q_lb,0.42442262,0.4407054,0.074123934,0.00026512862,0.0057594865,True,45.884377,0.21966954
50q_lb,0.49117833,0.5577733,0.07707445,0.0044348906,0.01037536,True,25.65,0.8640343
70q_lb,0.58198464,0.6730098,0.08161111,0.008285588,0.014945959,True,14.16875,1.1153531
90q_lb,0.77464825,0.8521178,0.118115194,0.006001528,0.019952731,True,37.934376,0.6558811
