,Mean,2.5q,97.5q
a(friend),0.943374203501683,0.9266957402238064,0.9589436027625798
a(self),0.8292820016814972,0.813562967925741,0.8437889611437807
a_std,0.018798671045963517,0.004995492108759462,0.033347166457103714
a_subj(friend).0,0.9660386326521044,0.9293607580711251,1.0198192925077934
a_subj(friend).1,0.9407566446290471,0.9021634289956021,0.9760312066530623
a_subj(friend).2,0.9456585094150183,0.9090613181948421,0.9830431515709339
a_subj(friend).3,0.9548976463183958,0.9205151443891576,0.9957642916458046
a_subj(friend).4,0.943629645176142,0.9074024351704493,0.9816534190734736
a_subj(friend).5,0.9498583476191433,0.9144160590643433,0.9903613105701965
a_subj(friend).6,0.949417927174495,0.912652044162971,0.9880243690322041
a_subj(friend).7,0.9257492113205302,0.8796327015333972,0.9598707286213829
a_subj(friend).8,0.9308844036282456,0.8876310616515437,0.9655795357013318
a_subj(friend).9,0.9532719459254061,0.9185861526043295,0.9951086107656594
a_subj(friend).10,0.9459271144660916,0.9096933894745418,0.9832897031070329
a_subj(friend).11,0.9489525697326504,0.9150559927580979,0.9856616125670937
a_subj(friend).12,0.9447217451147538,0.9079854955677646,0.9817863065103978
a_subj(friend).13,0.9395667540729331,0.899708429178588,0.9779656015306922
a_subj(friend).14,0.9422528560829061,0.9047475826056491,0.9774668415288563
a_subj(friend).15,0.9316021119334439,0.8892581709300739,0.965235519625483
a_subj(friend).16,0.9388162177020121,0.8992844294380173,0.9728007152704549
a_subj(friend).17,0.9484494626741252,0.9132050901335936,0.9874873101563286
a_subj(friend).18,0.9432282036802959,0.9064098456545538,0.9810607549917427
a_subj(friend).19,0.9319131206825406,0.8884943630340876,0.9659743254450537
a_subj(friend).20,0.9383857057828293,0.8986418984309059,0.9743208948823143
a_subj(friend).21,0.9509813334125334,0.9172143355515112,0.9893933663104604
a_subj(friend).22,0.936996662990505,0.89683788740717,0.9712067917356968
a_subj(friend).23,0.9393129713949404,0.9001751669734195,0.9754534373379586
a_subj(friend).24,0.9493370034387624,0.9158368753303866,0.989614011957866
a_subj(friend).25,0.9494981091767233,0.9143361601008344,0.9895145944979569
a_subj(friend).26,0.937314240598083,0.897195355480732,0.9725014951709559
a_subj(friend).27,0.9361534377251576,0.8944344598943814,0.971530758430567
a_subj(friend).28,0.9438071337606516,0.9043129524509148,0.9815698914122475
a_subj(friend).29,0.9529290406377994,0.9196292651638975,0.9925200119576731
a_subj(friend).30,0.9400303290571032,0.9023590721799271,0.9794087413533785
a_subj(friend).31,0.9392130131838375,0.9017785099246035,0.9734637825058816
a_subj(self).0,0.8451850266302436,0.8109368661214266,0.8904188441335349
a_subj(self).1,0.8124489670560164,0.7667523272554524,0.8471276163784774
a_subj(self).2,0.8373317574598689,0.8044165955642575,0.8770039728894485
a_subj(self).3,0.826439303091091,0.7903320479308309,0.861452588812855
a_subj(self).4,0.8322006430470594,0.7969126723612937,0.8687891403445529
a_subj(self).5,0.8205092729246536,0.7804600139075553,0.8522829054041339
a_subj(self).6,0.8106269056036862,0.7620998829313429,0.845707959674053
a_subj(self).7,0.8298058908694302,0.7925932654055362,0.8636716558848208
a_subj(self).8,0.8237597500754172,0.7829150695119769,0.8607698348252337
a_subj(self).9,0.8304890348071002,0.7922127717256062,0.8662434949578813
a_subj(self).10,0.8379139898106293,0.8028804753908352,0.8768448907435247
a_subj(self).11,0.8284136175154327,0.7920304388070979,0.8630524233492427
a_subj(self).12,0.8236712604842793,0.7859509703190797,0.856533044166588
a_subj(self).13,0.8335015151113572,0.797970035247831,0.8680494899452623
a_subj(self).14,0.8189801794057402,0.778424783971899,0.8518433882181541
a_subj(self).15,0.8188674114109851,0.7748238147485603,0.8521220857791949
a_subj(self).16,0.8235810734328586,0.7816343924370729,0.8577627332903465
a_subj(self).17,0.8223900311874012,0.780744888976638,0.8576245199781614
a_subj(self).18,0.8337628700364055,0.7992805429786094,0.8714189815305491
a_subj(self).19,0.8184759528417164,0.7753979651481432,0.8533075692251643
a_subj(self).20,0.8357716330157079,0.7987267784435641,0.8791296261871121
a_subj(self).21,0.8486551115351547,0.8150587144714504,0.8950968775794279
a_subj(self).22,0.8358220680106254,0.8017032161377451,0.8738433488893393
a_subj(self).23,0.8436418767599209,0.809995847725472,0.8841787163184959
a_subj(self).24,0.8357812881315472,0.8022633696961601,0.8744482817438384
a_subj(self).25,0.8454977293540186,0.8105355768885818,0.8886882070207036
a_subj(self).26,0.8333081518924995,0.796817829884362,0.8705017145802671
