,Mean,2.5q,97.5q
a(friend),0.8196274153160803,0.8048460516742603,0.8314888652070922
a(self),0.8655300749004338,0.8505106203921128,0.8812426101925654
a_std,0.014136954118751993,0.0030709946930574574,0.030920209068148047
a_subj(friend).0,0.831472803434906,0.8045339846317588,0.8728099047472729
a_subj(friend).1,0.8328543131762807,0.8049311280041126,0.8774943547801339
a_subj(friend).2,0.8219772732809696,0.792067734487859,0.8536531042837516
a_subj(friend).3,0.809410646836566,0.7663409471652834,0.8368476498269307
a_subj(friend).4,0.8196688847102805,0.7908127420513676,0.8470757717910498
a_subj(friend).5,0.8048618691441994,0.7561122673015782,0.8333803077694155
a_subj(friend).6,0.8188810359131257,0.7869994614578155,0.8486166464031574
a_subj(friend).7,0.824721218137856,0.7977067334016037,0.8578176784705186
a_subj(friend).8,0.8174408093691973,0.7843325771072117,0.8452028139271754
a_subj(friend).9,0.8218245977183395,0.7899136773365418,0.856042014683096
a_subj(friend).10,0.8048180997092365,0.7582371163514929,0.8323912292146914
a_subj(friend).11,0.8056828545965239,0.7615497620356108,0.8333727946684034
a_subj(friend).12,0.829951152856141,0.803143676894984,0.8729362435259314
a_subj(friend).13,0.813689097314685,0.7790790960071903,0.8401349623737455
a_subj(friend).14,0.8224748402362881,0.7926906242818994,0.8539683307568513
a_subj(friend).15,0.8307891152110419,0.8028235774101686,0.8725593362672773
a_subj(friend).16,0.8113213459827727,0.7704792967435709,0.8373818476241366
a_subj(friend).17,0.8276647677060417,0.7987529890258249,0.8660497358700293
a_subj(friend).18,0.8186975867069918,0.7860053213065926,0.8483690250220409
a_subj(friend).19,0.8167163416660326,0.7836626954401713,0.8433541079433661
a_subj(friend).20,0.8167954690355996,0.7842042615182775,0.8442953740473104
a_subj(friend).21,0.8223031888625608,0.7928037050728147,0.8549514579020007
a_subj(friend).22,0.8255723271351437,0.7977822867890957,0.8618809565286377
a_subj(friend).23,0.8300725665392966,0.8018612002939834,0.8690322856622249
a_subj(friend).24,0.8145337328820211,0.7787010393302732,0.8408006463237496
a_subj(friend).25,0.8150473692935726,0.7791778358253185,0.8409316892254421
a_subj(friend).26,0.8170956849285408,0.7842128686326897,0.8433291807039606
a_subj(friend).27,0.8216719155956662,0.7925864756726296,0.8541495859790725
a_subj(friend).28,0.817151659061882,0.7835831009681685,0.8459158814890606
a_subj(friend).29,0.8266897503897437,0.7993347893895055,0.8635694395937515
a_subj(friend).30,0.8207757468124433,0.7896290962440657,0.8504884213602802
a_subj(friend).31,0.8195297733505952,0.7860344213700048,0.8480204708329997
a_subj(self).0,0.8678401530373232,0.8393071327260153,0.900637388187872
a_subj(self).1,0.8704921054411997,0.8410226417547858,0.9047303177236314
a_subj(self).2,0.8642161349473451,0.8305836333426011,0.8951097424544107
a_subj(self).3,0.8583847226124419,0.8203298845633727,0.8861974085412767
a_subj(self).4,0.8738603703652802,0.8454734047549641,0.9132404964932183
a_subj(self).5,0.8607922536793645,0.8222710754369141,0.8910652217670927
a_subj(self).6,0.863099180345743,0.8287306739791501,0.8921908472668124
a_subj(self).7,0.8636174115422418,0.8306161907387072,0.8936024187526835
a_subj(self).8,0.8672876795251793,0.8374734616452957,0.8985980614040242
a_subj(self).9,0.8747739861282877,0.8471513146520945,0.9158075147276198
a_subj(self).10,0.8571974556720988,0.8190901164544981,0.8853638732539929
a_subj(self).11,0.8678246508295605,0.8389271179830046,0.8976623757404608
a_subj(self).12,0.864184163448146,0.8334558536863047,0.8950029716442084
a_subj(self).13,0.8644382556542135,0.8323023900354624,0.8930955027915507
a_subj(self).14,0.8674071184105624,0.8378645608347223,0.8994042887367529
a_subj(self).15,0.8661234655574312,0.8362234267483016,0.8962462664556347
a_subj(self).16,0.863971630461212,0.8313827742767179,0.8945331303955957
a_subj(self).17,0.8687202390000494,0.8390911191414974,0.9009843496320364
a_subj(self).18,0.8663082112566335,0.8349070618748099,0.8971125250581744
a_subj(self).19,0.863022334604699,0.8289295010712441,0.8946646069532882
a_subj(self).20,0.8620428720099979,0.831426793596036,0.8897285428691232
a_subj(self).21,0.8664141193280126,0.8364848493386503,0.8975462388608021
a_subj(self).22,0.8703113452718799,0.841145992250528,0.9050342056995719
a_subj(self).23,0.8659981001859054,0.8368270644236843,0.894468215695122
a_subj(self).24,0.8636215473554121,0.8315380689294425,0.892582174622035
a_subj(self).25,0.869102176996603,0.840395060647399,0.9024985876869662
a_subj(self).26,0.8677612177733675,0.8380910995709857,0.9011713737372284
a_subj(self).27,0.86711967215388,0.8373138250444767,0.9010731458566072
a_subj(self).28,0.8615610632468517,0.8230799013624784,0.8919323670808428
a_subj(self).29,0.8587106763540315,0.8215296907691317,0.8872595194825014
a_subj(self).30,0.8641851432375626,0.8295374987632749,0.8948583637349551
a_subj(self).31,0.863467298372843,0.8313540986521247,0.8920367953992968
t,0.35849186373117525,0.34956878019567966,0.3676584881914707
t_std,0.023180016769130667,0.01783582387067005,0.03053839048670911
t_subj.0,0.37270789501201873,0.3651623932160501,0.3795120470512074
t_subj.1,0.37492548816844434,0.3662109364183217,0.38610877233657304
t_subj.2,0.3653495331556897,0.35658407709594064,0.37719762612791746
t_subj.3,0.3551744947526501,0.3459318703518702,0.3665668963789309
t_subj.4,0.3802645465880571,0.37158217387391107,0.3854113942720979
t_subj.5,0.35869312479862697,0.34898914149741145,0.36832362638254024
t_subj.6,0.31381570155882127,0.30663213747014406,0.3238925906976554
t_subj.7,0.39257017127427885,0.38411477309618663,0.39844018327465874
t_subj.8,0.3290027746936783,0.3229457844609511,0.337888071793207
t_subj.9,0.3950441738231024,0.3874794374117805,0.4070050147250388
t_subj.10,0.35452502660309465,0.34771686347363023,0.3596881446813174
t_subj.11,0.36851827471475757,0.36090807126842633,0.3772035464292551
t_subj.12,0.3619539056415107,0.35334181467337994,0.37395707763781527
t_subj.13,0.3449426509696433,0.33902587984255506,0.3514001201877074
t_subj.14,0.35474254428416535,0.3477973075239365,0.36154396433311825
t_subj.15,0.3802039979752007,0.3716620754759352,0.38955601063567835
t_subj.16,0.3362861757524729,0.3233893674112059,0.3463820241402952
t_subj.17,0.3786824975012136,0.37217043627693175,0.3856439862012022
t_subj.18,0.37161561313604624,0.3628369575661061,0.3802180143771237
t_subj.19,0.3320619090911274,0.3263616606196906,0.341254460576346
t_subj.20,0.37110964094329796,0.364694651983257,0.38117536887792114
t_subj.21,0.365385518075449,0.36025959103243543,0.37050007384157885
t_subj.22,0.3542786960505403,0.3418493421900765,0.3644084565429555
t_subj.23,0.3444723741087559,0.33820670668819397,0.3530703558406212
