stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.4940689,0.50231296,0.3667858,6.7964866e-05,0.13459979,True,50.0,0.022476554
mean_ub,0.5198018,0.46910474,0.06011602,0.0025701912,0.0061841225,True,80.56286,0.8433202
std_ub,0.18029143,0.18612555,0.04530161,3.4036875e-05,0.0020862727,True,41.78,0.12878379
10q_ub,0.339757,0.25573075,0.048463687,0.007060408,0.009409139,True,95.82286,1.7337978
30q_ub,0.4199945,0.36086813,0.058356375,0.00349593,0.006901393,True,86.01428,1.013195
50q_ub,0.483349,0.4549341,0.061920956,0.0008074068,0.004641611,True,64.468575,0.45888996
70q_ub,0.5624343,0.54242015,0.06568153,0.00040056638,0.00471463,True,58.44,0.3047151
90q_ub,0.7410234,0.68648154,0.10865924,0.0029748187,0.014781643,True,65.68857,0.5019536
mean_lb,-0.5221748,-0.48504084,0.056623623,0.0013789273,0.004585165,True,22.444286,0.6558024
std_lb,0.17695703,0.19041856,0.048039604,0.00018121263,0.002489016,True,38.001427,0.28021723
10q_lb,0.3487928,0.2690511,0.05195122,0.0063587357,0.009057663,True,94.46,1.5349338
30q_lb,0.42671207,0.37608767,0.057781298,0.0025628295,0.005901508,True,84.112854,0.8761381
50q_lb,0.48810974,0.46639886,0.060509317,0.00047136258,0.00413274,True,61.87143,0.35880238
70q_lb,0.5655814,0.5570567,0.06600974,7.2669616e-05,0.0044299555,True,52.14857,0.12914227
90q_lb,0.7214458,0.7107301,0.102552466,0.000114826216,0.010631836,True,53.694286,0.10448992
