,Mean,2.5q,97.5q
a(equal),1.0321679656588225,1.0030627311209168,1.0616103610079266
a(none),1.1830213700032928,1.146147334371389,1.217935572626733
a_std,0.04295525176337848,0.021927196596582366,0.06431783595029558
a_subj(equal).29,0.9993480550049915,0.9302482301269401,1.068732791435203
a_subj(equal).30,1.0177053593648877,0.9504825836446869,1.0861883060962791
a_subj(equal).31,0.9882757187955539,0.9152809599358609,1.0600288194101064
a_subj(equal).32,1.0056529948010595,0.932399796415536,1.0722968815433633
a_subj(equal).34,1.0405232459577092,0.9707364751667606,1.1185098438494117
a_subj(equal).35,1.0260864722281506,0.958641204618885,1.0967607230777023
a_subj(equal).36,1.044222696157849,0.9796077300046332,1.1189649219439588
a_subj(equal).37,1.0220895050719254,0.9534356866339291,1.095138732659876
a_subj(equal).38,0.9981138474987714,0.9282359172676127,1.0649396186780873
a_subj(equal).39,1.0946971946574233,1.0255474195346967,1.1775769484451502
a_subj(equal).40,1.0424117547966543,0.9750036928928145,1.1174936842591845
a_subj(equal).41,1.009518684360096,0.9393528133920498,1.0764346051064713
a_subj(equal).42,1.041690787743972,0.9731785842926981,1.1134743676927858
a_subj(equal).43,1.0308996134053239,0.9630416033491006,1.1010045984423782
a_subj(equal).45,1.081111219138517,1.0106628527494899,1.1644945804618199
a_subj(equal).46,1.0164137079210713,0.9511052349037135,1.083245983098701
a_subj(equal).47,1.042316163213208,0.9797647296887995,1.1099372248739785
a_subj(equal).48,1.0559680294096003,0.9911558709585124,1.1272492065219502
a_subj(equal).49,0.9635273605246253,0.8798251561100702,1.0380055039821212
a_subj(equal).50,1.0033398034403833,0.9350508579709319,1.0713650789990774
a_subj(equal).51,1.0403267597149746,0.9727358693023395,1.1144890043107933
a_subj(equal).52,1.0420434583602458,0.9753295535641711,1.1181614745787933
a_subj(equal).53,1.0412410945305386,0.9751532347159588,1.112571757471278
a_subj(equal).54,1.0425452041596395,0.9758529133193174,1.1166356981522374
a_subj(equal).56,1.04271045386114,0.9743607195418555,1.1172636408933652
a_subj(equal).57,1.0521188507205332,0.9840820429571396,1.1234463711844442
a_subj(equal).58,1.0290099170638687,0.9655643606370605,1.1010917468401378
a_subj(equal).59,0.9980044474523311,0.9230211506817237,1.0687086444870193
a_subj(equal).60,1.0186650064187224,0.9497859234715493,1.0884668744895936
a_subj(equal).61,1.0138653153926613,0.9466296224875912,1.0807846717746183
a_subj(equal).62,1.044276510297477,0.9744075898754951,1.1182319445104874
a_subj(equal).63,1.0614911105690643,0.994573677063752,1.1365614546802882
a_subj(equal).64,1.0410118649111082,0.9790846380236393,1.108758380341791
a_subj(equal).65,1.0825428951817688,1.0136846172009777,1.1643842335687884
a_subj(equal).67,1.0541160172436068,0.9848350043035922,1.1314279211916771
a_subj(none).0,1.1674934156038792,1.0894305292894686,1.241123527881133
a_subj(none).1,1.1793438202217645,1.1032766543671508,1.258817703341713
a_subj(none).2,1.1653014439377791,1.0882467768090671,1.2422867906014483
a_subj(none).3,1.1703346822246325,1.0918843466881945,1.2500937731219817
a_subj(none).4,1.19925825023273,1.1270909635989386,1.2799474807741633
a_subj(none).5,1.1428963788991247,1.065607045850252,1.2166257568099086
a_subj(none).6,1.2155520534380029,1.1397507695673161,1.305559745514088
a_subj(none).7,1.187636799547839,1.1140514703225666,1.2673897226259183
a_subj(none).8,1.166048817376258,1.0867222508993666,1.2430017206154789
a_subj(none).9,1.195890581593791,1.1209806892404943,1.282422274567358
a_subj(none).10,1.2294402329201441,1.1559050712663632,1.3151259382617442
a_subj(none).11,1.1966568331041014,1.1177703121383709,1.2828307481913703
a_subj(none).12,1.203762419554523,1.1249503679097803,1.2906241982137339
a_subj(none).13,1.2201251519349303,1.143546066653588,1.306522329617759
a_subj(none).14,1.180696740064377,1.1013792512926062,1.2635712317224397
a_subj(none).15,1.1639498178359793,1.0890566733183156,1.2369560070795014
a_subj(none).16,1.157917505283492,1.0796822064708518,1.2360165428867411
a_subj(none).17,1.2084969116725919,1.1345467995103768,1.2949308933749495
a_subj(none).18,1.1807344132521036,1.1045038591333358,1.2587733879527427
a_subj(none).19,1.1556289929487187,1.0766888523898706,1.232643293185018
a_subj(none).20,1.1733714516278386,1.0933619277728683,1.2529121417395244
a_subj(none).21,1.1547221106287424,1.0774776727481319,1.226380027789388
a_subj(none).22,1.1783423826449093,1.1024374167812128,1.2590514128864039
a_subj(none).23,1.1766138525825223,1.0983079127336282,1.2510751273092615
a_subj(none).24,1.2059198893487049,1.1302385529589174,1.2917528980309263
a_subj(none).25,1.1589165746326897,1.079964781537178,1.239906626894051
a_subj(none).26,1.208531582929692,1.1344368195798245,1.2929374924896324
