,Mean,2.5q,97.5q
a(equal),0.6953483250249779,0.676969306725864,0.715462875367541
a(none),0.6756760556394155,0.6564322303196776,0.6942524427077086
a_std,0.024053432371004286,0.006923940972449562,0.04007769073461819
a_subj(equal).35,0.7108498314440806,0.667738196201916,0.7620498928285522
a_subj(equal).36,0.7003671446936853,0.6563261261870375,0.7487758830368398
a_subj(equal).37,0.6865449991133622,0.6389067180066189,0.7294932557004963
a_subj(equal).38,0.7041947379081762,0.659099081923213,0.7532445781993812
a_subj(equal).39,0.717429589301351,0.6748347448945372,0.7719925459698718
a_subj(equal).40,0.6938418790587381,0.6464179296091588,0.7419406457310126
a_subj(equal).41,0.6928977804472625,0.646559247112048,0.7384567324136448
a_subj(equal).42,0.7027739691796462,0.6544024041618106,0.7590959847641265
a_subj(equal).43,0.6950395286719969,0.6509658683089202,0.7398499483132527
a_subj(equal).44,0.7177240469341403,0.6738774435840492,0.7701420359460656
a_subj(equal).45,0.6987833567471103,0.6523756447014859,0.747329645294587
a_subj(equal).46,0.6958255731800884,0.648376296614847,0.7471316694140904
a_subj(equal).47,0.7033162701266981,0.6563635096419734,0.7548800607706894
a_subj(equal).48,0.6824078582594683,0.6322605045446776,0.7262258329316431
a_subj(equal).49,0.6946569486654384,0.64802634148867,0.7400723043284864
a_subj(equal).50,0.692103978232455,0.6479850158352047,0.7351641839115403
a_subj(equal).51,0.7018602476837079,0.6602709822669459,0.750180614276311
a_subj(equal).52,0.6906997542181905,0.6444597716838927,0.7358247351256307
a_subj(equal).53,0.6860363015865231,0.6395643539742095,0.7313239470746793
a_subj(equal).54,0.6877367497242243,0.6409597154641391,0.7296952587127306
a_subj(equal).55,0.7092295027109474,0.6652508251097792,0.7610958146747165
a_subj(equal).56,0.6722862198111859,0.6182180779822708,0.7174476121184526
a_subj(equal).57,0.6873139556458291,0.6412690764769179,0.7318212826901801
a_subj(equal).58,0.6838938502140682,0.6366812940498758,0.7282050443285574
a_subj(equal).59,0.6996850643088169,0.6535169054570779,0.749161004589773
a_subj(equal).60,0.6976585296545241,0.6525623461237046,0.7481504355690801
a_subj(equal).61,0.6798972769184987,0.6290731649959924,0.7235462783030293
a_subj(equal).62,0.6888959539862604,0.6399406201936286,0.7387179770087927
a_subj(equal).63,0.6896114434636906,0.6392888400300915,0.7357129312638211
a_subj(equal).64,0.7088701910994574,0.6654535706678599,0.7573501527647576
a_subj(equal).65,0.6911027402589182,0.6463808006200716,0.7367877325708514
a_subj(equal).66,0.6843263266971188,0.6357496442079766,0.7262997837963885
a_subj(equal).67,0.6838893281434789,0.6344407481244825,0.7295221999992615
