stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.4940689,0.50441825,0.36399388,0.00010710959,0.13259865,True,50.0,0.028432831
mean_ub,0.5198018,0.47068337,0.06156021,0.0024126195,0.006202275,True,77.53714,0.7978924
std_ub,0.18029143,0.18323722,0.04405338,8.677686e-06,0.0019493778,True,43.725716,0.06686868
10q_ub,0.339757,0.25919452,0.049127948,0.00649031,0.008903862,True,94.62572,1.6398499
30q_ub,0.4199945,0.36581746,0.058169276,0.0029351537,0.006318817,True,83.18429,0.93136895
50q_ub,0.483349,0.4560995,0.062532194,0.0007425344,0.0046528094,True,62.892857,0.4357673
70q_ub,0.5624343,0.5433918,0.067524195,0.00036261603,0.004922132,True,57.51,0.28200972
90q_ub,0.7410234,0.68794316,0.11019901,0.0028175153,0.014961342,True,63.998573,0.4816765
mean_lb,-0.5221748,-0.4860264,0.05240554,0.001306703,0.0040530455,True,21.05857,0.689781
std_lb,0.17695703,0.19219701,0.044554453,0.00023225692,0.0022173566,True,35.861427,0.34205285
10q_lb,0.3487928,0.26669458,0.04788145,0.006740116,0.009032745,True,94.814285,1.7146142
30q_lb,0.42671207,0.37446508,0.05401115,0.0027297472,0.005646954,True,86.52143,0.96733695
50q_lb,0.48810974,0.46868494,0.055819206,0.00037732322,0.0034931074,True,61.804287,0.3479951
70q_lb,0.5655814,0.5606016,0.06111736,2.4798217e-05,0.0037601301,True,50.29,0.08147899
90q_lb,0.7214458,0.71200526,0.09867993,8.912337e-05,0.009826852,True,54.467144,0.09566806
