stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.4940689,0.4979574,0.40280384,1.5120672e-05,0.16226605,True,50.0,0.009653659
mean_ub,0.52310777,0.48772925,0.064716496,0.0012516378,0.0054398617,True,69.15395,0.5466689
std_ub,0.18095247,0.18120399,0.046139717,6.3256905e-08,0.0021289368,True,46.526943,0.005451036
10q_ub,0.34207433,0.28302312,0.057132002,0.0034870456,0.0067511154,True,87.34785,1.0335926
30q_ub,0.42176384,0.38461125,0.062690325,0.0013803139,0.005310394,True,72.88416,0.5926365
50q_ub,0.4853344,0.47074923,0.06733247,0.00021272723,0.0047463896,True,54.58312,0.21661425
70q_ub,0.5638789,0.5581647,0.07379583,3.2652035e-05,0.005478477,True,49.687126,0.0774325
90q_ub,0.75035095,0.70317084,0.11260553,0.0022259646,0.014905973,True,63.856506,0.4189859
mean_lb,-0.522749,-0.50987095,0.0647277,0.00016584476,0.004355522,True,38.09864,0.19895767
std_lb,0.17275542,0.18850413,0.05274349,0.0002480219,0.0030298976,True,36.205566,0.29859063
10q_lb,0.34998104,0.29908514,0.059003446,0.0025903939,0.006071799,True,84.79826,0.86259216
30q_lb,0.42793387,0.40198103,0.062100504,0.0006735496,0.0045300233,True,70.26089,0.41791666
50q_lb,0.49112973,0.48966047,0.065691225,2.1586848e-06,0.004317496,True,48.485542,0.022365944
70q_lb,0.5635356,0.58017683,0.07516413,0.00027693168,0.0059265774,True,36.119843,0.22139901
90q_lb,0.72791386,0.7340872,0.11697726,3.8110367e-05,0.01372179,True,48.111214,0.052774016
