,Mean,2.5q,97.5q
a(equal),1.153980485770398,1.1298319399715946,1.1786053851130014
a(friend),1.1231170614665213,1.0948304652031209,1.1509735752627195
a(self),1.118028704931244,1.0907987794322551,1.144210865570621
a_std,0.0545602478577692,0.041481132384796754,0.06951755550184546
a_subj(equal).0,1.204484661869247,1.1374266343907515,1.276107206644962
a_subj(equal).1,1.0785765091849429,1.0138882972973666,1.1453083241222315
a_subj(equal).2,1.1795230511866341,1.115006414699543,1.2481866540716644
a_subj(equal).3,1.1812553407229878,1.114554265973713,1.2498116317077468
a_subj(equal).4,1.1239288677638903,1.0600753841993988,1.1905652179189055
a_subj(equal).5,1.1214433477797565,1.0578070944386015,1.1873531576453533
a_subj(equal).6,1.116560337962351,1.0542402620816582,1.180659845511444
a_subj(equal).7,1.1707266304534973,1.1060739698654771,1.239848303803218
a_subj(equal).8,1.2093626585586799,1.1431550996335136,1.2806139186049013
a_subj(equal).9,1.1545017704443912,1.0893167931696106,1.2232708052928558
a_subj(equal).10,1.1704990783611893,1.1067513141111254,1.2365827658859225
a_subj(equal).11,1.2165569762660884,1.15029670057303,1.2865952669654828
a_subj(equal).12,1.1648918861063697,1.100360022168711,1.2327477164712817
a_subj(equal).13,1.133801457302952,1.0717852288412002,1.2017199143496802
a_subj(equal).14,1.1412315285744725,1.0770179812015588,1.207471252988072
a_subj(equal).15,1.198291265010754,1.1324643687785771,1.2697841053419308
a_subj(equal).16,1.1812773389684648,1.1140413857057523,1.252194651120908
a_subj(equal).17,1.2019577985402448,1.1337008639103596,1.2742065963151419
a_subj(equal).18,1.1717809753448147,1.1081616892969048,1.2393863294855323
a_subj(equal).19,1.0991151824086167,1.032202381511065,1.1665955894195428
a_subj(equal).20,1.1640128119987077,1.102229336541705,1.2292757523982885
a_subj(equal).21,1.1455933159629312,1.0823363832875856,1.2126105538161178
a_subj(equal).22,1.0814881358650479,1.0183978471045407,1.1466908327721772
a_subj(equal).23,1.096979301224463,1.0329407049333332,1.1614269895122387
a_subj(equal).24,1.1607950088383934,1.0959705492714344,1.2289034094856315
a_subj(equal).25,1.1203345978835682,1.0583825029771676,1.1845179516678086
a_subj(equal).26,1.2130693403582031,1.1466842522474021,1.2832317222667764
a_subj(equal).27,1.1716979695432883,1.1076514712372971,1.2404660085945114
a_subj(equal).28,1.1108410469095187,1.0454583328172335,1.1783537545192366
a_subj(equal).29,1.146995532528339,1.084830328381666,1.214292183454504
a_subj(equal).30,1.1846015299441277,1.118088228070958,1.2549720428280724
a_subj(equal).31,1.081279100996088,1.0181207462225206,1.145025981676043
a_subj(equal).32,1.1111256351324992,1.0467117851983538,1.1781519011334394
a_subj(equal).33,1.1394970204065105,1.0741669693432212,1.206677954239785
a_subj(equal).34,1.1338505855379055,1.0685884079363714,1.1997091376570783
a_subj(equal).35,1.26259713616877,1.1902113867140216,1.3389000044552137
a_subj(friend).0,1.1768711901515574,1.0962357431847027,1.2601954616884776
a_subj(friend).1,1.0595623678680421,0.9871754034494769,1.1350082848302008
a_subj(friend).2,1.1596547185211095,1.0857463114284678,1.2419640515459716
a_subj(friend).3,1.1782804755127623,1.1008983913085917,1.2623289673122202
a_subj(friend).4,1.13595210752869,1.060088577533533,1.2154335686626294
a_subj(friend).5,1.1059574511952301,1.030855664487072,1.1820676709727693
a_subj(friend).6,1.1061156303538306,1.032836222442496,1.1828652917469977
a_subj(friend).7,1.1282305731415059,1.055255749476542,1.2064815776867186
a_subj(friend).8,1.1815658136412095,1.1026359694196688,1.2657871006181982
a_subj(friend).9,1.0842588545754939,1.0122047507229792,1.1616771799247085
a_subj(friend).10,1.122713636854516,1.0463511589840895,1.2024444182688199
a_subj(friend).11,1.1590519358553326,1.0821951402704626,1.243310403790483
a_subj(friend).12,1.0960579900421852,1.0206592277598467,1.1742804512322205
a_subj(friend).13,1.1203939018680287,1.0490582276984264,1.196579471733411
a_subj(friend).14,1.1137572450849962,1.0393212223523787,1.1886184723690008
a_subj(friend).15,1.1813383373319284,1.1039087499347715,1.2628975005472953
a_subj(friend).16,1.1384733075215672,1.0621152792035777,1.2186081683652714
a_subj(friend).17,1.1807876127509491,1.100858848740181,1.264346347990164
a_subj(friend).18,1.0688470593184975,0.9924924194371934,1.147590819446052
a_subj(friend).19,1.1108035886063257,1.033120302082803,1.1890322280062526
a_subj(friend).20,1.1090447875287646,1.0375908492986832,1.1848241594723392
a_subj(friend).21,1.152781013322694,1.0779615150049127,1.2322064578524714
a_subj(friend).22,1.0781191227975957,1.0045738240990332,1.1540406616600405
a_subj(friend).23,1.1735197095071404,1.0972683061270734,1.2559210458966885
a_subj(friend).24,1.1456692592215891,1.072193736256384,1.2245849406246336
a_subj(friend).25,1.054109275766642,0.9808612879512035,1.1281375181948805
a_subj(friend).26,1.1298141910864132,1.0534867020535414,1.2080279730529129
a_subj(friend).27,1.08443454374594,1.009527643076086,1.1604324894223366
a_subj(friend).28,1.0463520191151612,0.9704929968676463,1.1238055065453403
