,Mean,2.5q,97.5q
v(friend_friend),-2.099104619521692,-2.232640457032436,-1.973368536181224
v(friend_self),2.4620481807832126,2.354207840363047,2.5475051132994015
v(self_friend),-2.2432307835774545,-2.3710431693495053,-2.1338194980881457
v(self_self),3.100007184112944,2.919314262473286,3.29359310452127
v_std,0.05111661009202421,0.008516336381569511,0.12979982069119306
v_subj(friend_friend).0,-2.0776031681676024,-2.2402052669768784,-1.8997078466819057
v_subj(friend_friend).1,-2.1061995256728245,-2.2933111917407607,-1.9501314218942285
v_subj(friend_friend).2,-2.099682188084036,-2.2804737334456853,-1.9381885836537598
v_subj(friend_friend).3,-2.088203957316742,-2.255067696182902,-1.9224767727221534
v_subj(friend_friend).4,-2.0903093005318762,-2.264694941647915,-1.9305487169029036
v_subj(friend_friend).5,-2.097805178704087,-2.2724754388431987,-1.9376322828695933
v_subj(friend_friend).6,-2.092653428385107,-2.265609009726517,-1.9264029674467429
v_subj(friend_friend).7,-2.1009114226300984,-2.286431067533145,-1.940232206465238
v_subj(friend_friend).8,-2.1115213291630983,-2.3138254971353733,-1.9524515106119171
v_subj(friend_friend).9,-2.0854753167989193,-2.2529990726426883,-1.9128970653026172
v_subj(friend_friend).10,-2.0987863745652455,-2.2731104616618985,-1.9399433546803748
v_subj(friend_friend).11,-2.094264680994998,-2.274817093392971,-1.9246967443685954
v_subj(friend_friend).12,-2.1025584528653964,-2.2843788547579127,-1.9391695399664528
v_subj(friend_friend).13,-2.1083889256825152,-2.2990386124539945,-1.9545645628003792
v_subj(friend_friend).14,-2.100329943073114,-2.280699822974416,-1.940377284949863
v_subj(friend_friend).15,-2.1152361678799068,-2.3144619238422672,-1.9577881264204604
v_subj(friend_friend).16,-2.100666610642192,-2.2899200985161463,-1.9418180029594292
v_subj(friend_friend).17,-2.0817300188323618,-2.244275444226763,-1.9038244605422963
v_subj(friend_friend).18,-2.102103243325383,-2.2870548153394954,-1.9416318647469555
v_subj(friend_friend).19,-2.0955554915816093,-2.271576309537676,-1.9329780773301803
v_subj(friend_friend).20,-2.1070436066217915,-2.293057998823566,-1.9489471949737371
v_subj(friend_friend).21,-2.1086563169895896,-2.2983758330715145,-1.9524098708725948
v_subj(friend_friend).22,-2.1068699033966896,-2.2982206322058563,-1.9533564774347874
v_subj(friend_friend).23,-2.104320439434271,-2.29115419854229,-1.948485992066144
v_subj(friend_friend).24,-2.0905140667551843,-2.2592393269321764,-1.925566174968008
v_subj(friend_friend).25,-2.106447377123934,-2.29407156189797,-1.9489820978452386
v_subj(friend_friend).26,-2.1076115124264665,-2.2976909503119134,-1.9514671795682403
v_subj(friend_friend).27,-2.102075845877931,-2.280891161027834,-1.9455439727032946
v_subj(friend_friend).28,-2.0965809362393744,-2.2697484476261023,-1.936760308505786
v_subj(friend_friend).29,-2.094422434806661,-2.2704944791363553,-1.9307272201131744
v_subj(friend_friend).30,-2.105088484969086,-2.2880482781523352,-1.9508796781535742
v_subj(friend_friend).31,-2.095097704146996,-2.2730355859095477,-1.931882530384176
v_subj(friend_self).0,2.438235051340012,2.2450871855578693,2.565078551256759
v_subj(friend_self).1,2.4668843761332306,2.309365443100781,2.6098463079151166
v_subj(friend_self).2,2.4537561078553596,2.2862579014142654,2.589109421797029
v_subj(friend_self).3,2.4602853196802754,2.291106728519571,2.6027705902790497
v_subj(friend_self).4,2.4448873155444564,2.2583029661555947,2.5754576402254115
